stratification,friend_indicator,sex,outcome,outcome_label,outcome_group,n_present,n_absent,exposure,label,beta,se,p,sig
BIO_SEX × HAVEBMF,HAVEBMF,male,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,992,555,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H4DBP,-3.1558721067835336,4.22949713913838,0.45557212169311456,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,992,555,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H4SBP,-2.29050700817497,6.209222571448933,0.7122112907266911,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,1010,570,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H4WAIST,3.3197141569002753,8.169604357545385,0.6844858634732773,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,694,383,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H5EC1,-0.567707577603894,0.6723082939934675,0.3984372361866231,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,699,388,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,1.4043720141688105,0.5866094306098156,0.016663499740405152,True
BIO_SEX × HAVEBMF,HAVEBMF,male,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,699,386,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H5ID16,1.3910608939189566,0.7367145397285639,0.05899974338517677,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,699,388,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H5ID4,0.5738802843527262,0.33712517826274396,0.08870353915449036,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,699,386,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H5LM5,0.07201704222849092,0.0868303350993528,0.40687834711924165,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,686,376,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H5MN1,0.8013887380930678,0.6628995377941477,0.22669576742877906,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,685,373,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H5MN2,-0.05513905902548988,0.6012934667926652,0.9269358052557082,False
BIO_SEX × HAVEBMF,HAVEBMF,male,W4_COG_COMP,W4 cognition composite,cognitive,1014,573,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> W4_COG_COMP,0.3068586177301409,0.3703646854500045,0.4073698546487192,False
