exposure,outcome,outcome_group,label,stratification,sex,beta,p,sd_x,sd_y,rr_basis,rr,evalue
HAVEBMF-present-vs-absent (female),H5ID16,functional,HAVEBMF+ vs HAVEBMF- (female) -> H5ID16,BIO_SEX × HAVEBMF,female,0.14457690364886044,0.8391280991191787,0.5,1.343194908834103,chinn-2000,1.0501937206563818,1.2797871226733228
HAVEBMF-present-vs-absent (female),H5ID4,functional,HAVEBMF+ vs HAVEBMF- (female) -> H5ID4,BIO_SEX × HAVEBMF,female,0.3792872580002258,0.14047727889254746,0.5,0.5519349622758285,chinn-2000,1.3670757668879503,2.07546858554461
HAVEBMF-present-vs-absent (female),H5LM5,ses,HAVEBMF+ vs HAVEBMF- (female) -> H5LM5,BIO_SEX × HAVEBMF,female,0.0004828312367137766,0.9954994968578335,0.5,0.39783067041437103,chinn-2000,1.000552367873616,1.0240613658081026
HAVEBMF-present-vs-absent (female),H5MN1,mental_health,HAVEBMF+ vs HAVEBMF- (female) -> H5MN1,BIO_SEX × HAVEBMF,female,0.003136277038126689,0.995133567677214,0.5,1.052259652418585,chinn-2000,1.0013570548799242,1.038220267950292
HAVEBMF-present-vs-absent (female),H5MN2,mental_health,HAVEBMF+ vs HAVEBMF- (female) -> H5MN2,BIO_SEX × HAVEBMF,female,-0.3901080995013002,0.37436009572773266,0.5,0.9449202590801405,chinn-2000,0.8287425918503896,1.7059972524536389
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,-0.6648551032717286,0.026854660402210406,0.5,0.7696018174269023,chinn-2000,0.674980018857764,2.326150690443056
HAVEBMF-present-vs-absent (male),H4BMI,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4BMI,BIO_SEX × HAVEBMF,male,0.5578458749793356,0.8665587746416359,0.5,7.488129839207538,chinn-2000,1.034477322778947,1.2233317867583582
HAVEBMF-present-vs-absent (male),H4BMICLS,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4BMICLS,BIO_SEX × HAVEBMF,male,0.22612370212506638,0.6949123045040424,0.5,1.2892843767538902,chinn-2000,1.0830716006131966,1.3830257495120493
HAVEBMF-present-vs-absent (male),H4DBP,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4DBP,BIO_SEX × HAVEBMF,male,-3.1558721067835336,0.45557212169311456,0.5,10.350684979451811,chinn-2000,0.870465436905207,1.5622781172900218
HAVEBMF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4SBP,BIO_SEX × HAVEBMF,male,-2.29050700817497,0.7122112907266911,0.5,13.723490712305665,chinn-2000,0.9268705471944207,1.3706602099078353
HAVEBMF-present-vs-absent (male),H4WAIST,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4WAIST,BIO_SEX × HAVEBMF,male,3.3197141569002753,0.6844858634732773,0.5,17.62916016470102,chinn-2000,1.0894578622733158,1.4016446195129963
HAVEBMF-present-vs-absent (male),H5EC1,ses,HAVEBMF+ vs HAVEBMF- (male) -> H5EC1,BIO_SEX × HAVEBMF,male,-0.567707577603894,0.3984372361866231,0.5,3.261990749766246,chinn-2000,0.923867233979017,1.3810660444821241
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,1.4043720141688105,0.016663499740405152,0.5,0.9817523284987635,chinn-2000,1.9172005140639246,3.2432688746935914
HAVEBMF-present-vs-absent (male),H5ID16,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID16,BIO_SEX × HAVEBMF,male,1.3910608939189566,0.05899974338517677,0.5,1.343194908834103,chinn-2000,1.6019383154357456,2.5839098277645753
HAVEBMF-present-vs-absent (male),H5ID4,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID4,BIO_SEX × HAVEBMF,male,0.5738802843527262,0.08870353915449036,0.5,0.5519349622758285,chinn-2000,1.604947618879746,2.5902948878504475
HAVEBMF-present-vs-absent (male),H5LM5,ses,HAVEBMF+ vs HAVEBMF- (male) -> H5LM5,BIO_SEX × HAVEBMF,male,0.07201704222849092,0.40687834711924165,0.5,0.39783067041437103,chinn-2000,1.085853250023625,1.391179355300007
HAVEBMF-present-vs-absent (male),H5MN1,mental_health,HAVEBMF+ vs HAVEBMF- (male) -> H5MN1,BIO_SEX × HAVEBMF,male,0.8013887380930678,0.22669576742877906,0.5,1.052259652418585,chinn-2000,1.4141416213250668,2.1794225526429862
HAVEBMF-present-vs-absent (male),H5MN2,mental_health,HAVEBMF+ vs HAVEBMF- (male) -> H5MN2,BIO_SEX × HAVEBMF,male,-0.05513905902548988,0.9269358052557082,0.5,0.9449202590801405,chinn-2000,0.9737986941440914,1.1931297313308757
HAVEBMF-present-vs-absent (male),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (male) -> W4_COG_COMP,BIO_SEX × HAVEBMF,male,0.3068586177301409,0.4073698546487192,0.5,0.7696018174269023,chinn-2000,1.1989178550276312,1.6872683112334432
