sex,exposure,outcome,outcome_label,outcome_group,n,beta,se,p
female,FRIEND_DISCLOSURE_ANY,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,2503,-0.4200854711189992,0.7724293782429226,0.5874764034130776
female,FRIEND_DISCLOSURE_ANY,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,2503,-0.35691534408485914,0.6919976875859881,0.6068874087658338
female,FRIEND_DISCLOSURE_ANY,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,2539,-1.7575766335718277,1.0494481138308653,0.09638479550509779
female,FRIEND_DISCLOSURE_ANY,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,2527,-0.11725061213434732,0.07094350993039296,0.10079855102545235
female,FRIEND_DISCLOSURE_ANY,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,1952,0.00662296689905556,0.07193008097130428,0.9267801352637943
female,FRIEND_DISCLOSURE_ANY,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,1950,0.11757530421761653,0.07802974398144537,0.1342878142119386
female,FRIEND_DISCLOSURE_ANY,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,1995,-0.19942788195518105,0.06366213605248054,0.002141240921543417
female,FRIEND_DISCLOSURE_ANY,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,1995,-0.07069455151547305,0.03754922366807724,0.06197361729021214
female,FRIEND_DISCLOSURE_ANY,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,1995,0.080846785216342,0.09278346676189378,0.3851699178648931
female,FRIEND_DISCLOSURE_ANY,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,2078,-0.028802890078293165,0.03429356045369795,0.40251087161985205
female,FRIEND_DISCLOSURE_ANY,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,2049,0.4780044763558743,0.20939742937360947,0.024068045049488656
