spec_id,spec_label,outcome,term,beta,se,t,p,ci_lo,ci_hi,n,n_psu,r2,ahpvt_adjusted
S04_BCENT10X_noAHPVT,BCENT10X -> W4_COG_COMP,W4_COG_COMP,race_Hispanic,-0.1099692816038698,0.051276948847890594,-2.1446143749716042,0.03414495560161622,-0.21156798280393427,-0.008370580403805339,3413,113,0.09366076153717007,False
S04_BCENT10X_noAHPVT,BCENT10X -> W4_COG_COMP,W4_COG_COMP,race_Other,-0.026630296494866458,0.09501811281704062,-0.2802654747115811,0.7797908421252318,-0.21489650713328776,0.16163591414355485,3413,113,0.09366076153717007,False
S04_BCENT10X_noAHPVT,BCENT10X -> W4_COG_COMP,W4_COG_COMP,parent_ed,0.03395134872145872,0.007365318596732454,4.609623911791253,1.0762906784349524e-05,0.01935791404630873,0.048544783396608705,3413,113,0.09366076153717007,False
S04_BCENT10X_noAHPVT,BCENT10X -> W4_COG_COMP,W4_COG_COMP,cesd_sum,-0.010659441208721126,0.0018135778684530144,-5.877575699472805,4.3676263419851284e-08,-0.014252813281357376,-0.0070660691360848755,3413,113,0.09366076153717007,False
S04_BCENT10X_noAHPVT,BCENT10X -> W4_COG_COMP,W4_COG_COMP,srh,-0.0277424989167403,0.014050146766847096,-1.9745344569781897,0.050782279335094195,-0.055581063715446584,9.60658819659857e-05,3413,113,0.09366076153717007,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,const,0.2302684267122396,0.05425163903945256,4.244451057870992,4.53851620377227e-05,0.12277575820862527,0.33776109521585396,3413,113,0.09017424518147865,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,reach,0.00011727587000338878,3.988078460835125e-05,2.9406610515589153,0.0039797629261790705,3.825720742524885e-05,0.0001962945325815287,3413,113,0.09017424518147865,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,male,-0.2432851472066921,0.025845953881381566,-9.41289102051464,7.490099488048193e-16,-0.2944955917558544,-0.1920747026575298,3413,113,0.09017424518147865,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,race_NH-Black,-0.3687438340941494,0.03895974505129323,-9.46473940239271,5.686348879495986e-16,-0.44593757485354846,-0.29155009333475035,3413,113,0.09017424518147865,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,race_Hispanic,-0.13283061210213226,0.05176907740454196,-2.565829231688768,0.011613811314433948,-0.2354044029536415,-0.030256821250623026,3413,113,0.09017424518147865,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,race_Other,-0.029523131472622244,0.09765053177665989,-0.30233456936154407,0.7629577689880551,-0.2230051428425792,0.16395887989733468,3413,113,0.09017424518147865,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,parent_ed,0.03457920832847498,0.00728526173542678,4.7464606742024325,6.16159588539992e-06,0.02014439606190352,0.049014020595046434,3413,113,0.09017424518147865,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,cesd_sum,-0.011516262504820376,0.001776180003801966,-6.483724892842772,2.4984289133313573e-09,-0.01503553550250048,-0.007996989507140272,3413,113,0.09017424518147865,False
S04_REACH_noAHPVT,REACH -> W4_COG_COMP,W4_COG_COMP,srh,-0.03196864295999402,0.013821933413055907,-2.312892270903079,0.022554962798145374,-0.05935503225172005,-0.0045822536682679944,3413,113,0.09017424518147865,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,const,0.24438320008775366,0.08451797768482124,2.8914937008915556,0.004606774017539405,0.07692166125270433,0.411844738922803,3137,113,0.08892346862201517,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,prxprest,0.2066049300025528,0.32179391136936064,0.6420411409382077,0.5221584267223421,-0.4309884561835022,0.8441983161886077,3137,113,0.08892346862201517,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,male,-0.23782632039712018,0.027465881436276117,-8.658972804091635,4.029370031706209e-14,-0.29224644374569203,-0.18340619704854835,3137,113,0.08892346862201517,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,race_NH-Black,-0.3790812768685674,0.049175253254276165,-7.708781384579924,5.591338600447129e-12,-0.47651573765599453,-0.2816468160811403,3137,113,0.08892346862201517,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,race_Hispanic,-0.10502553613734877,0.055503046656313025,-1.8922481280656502,0.06103993835891394,-0.21499770842193194,0.0049466361472344095,3137,113,0.08892346862201517,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,race_Other,-0.027500566421594357,0.10474085272497355,-0.26255816814671923,0.7933734871975071,-0.235031139876967,0.1800300070337783,3137,113,0.08892346862201517,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,parent_ed,0.03863039551798581,0.0073937325285116035,5.2247488489771365,8.149301474372704e-07,0.023980662279258803,0.05328012875671282,3137,113,0.08892346862201517,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,cesd_sum,-0.011250408106514948,0.0018253845768617502,-6.163308405868614,1.151559850647612e-08,-0.01486717365841873,-0.0076336425546111655,3137,113,0.08892346862201517,False
S04_PRXPREST_noAHPVT,PRXPREST -> W4_COG_COMP,W4_COG_COMP,srh,-0.03650093902037297,0.014527648820469778,-2.512515237079681,0.013411425705959162,-0.06528561292967279,-0.007716265111073151,3137,113,0.08892346862201517,False
S05_ZERO,I(IDGX2==0) -> W4_COG_COMP,W4_COG_COMP,const,-1.1558352142329358,0.11990723817920068,-9.639411529982425,2.245514063286365e-16,-1.393416036360864,-0.9182543921050075,3268,113,0.15490775490355901,True
S05_ZERO,I(IDGX2==0) -> W4_COG_COMP,W4_COG_COMP,idg_zero,-0.04415566413700052,0.05161591196824804,-0.855466123782977,0.39411952782079906,-0.14642597731002374,0.0581146490360227,3268,113,0.15490775490355901,True
S05_ZERO,I(IDGX2==0) -> W4_COG_COMP,W4_COG_COMP,male,-0.25708959833462103,0.025976001180106612,-9.897196899248287,5.686648772519049e-17,-0.3085577149360779,-0.20562148173316414,3268,113,0.15490775490355901,True
S05_ZERO,I(IDGX2==0) -> W4_COG_COMP,W4_COG_COMP,race_NH-Black,-0.18412555274570938,0.03589256639430629,-5.12990770074657,1.227740867058393e-06,-0.25524207216296435,-0.11300903332845444,3268,113,0.15490775490355901,True
S05_ZERO,I(IDGX2==0) -> W4_COG_COMP,W4_COG_COMP,race_Hispanic,0.035136060385108095,0.05234716232120546,0.6712123222556178,0.5034672546454713,-0.06858313162688331,0.1388552523970995,3268,113,0.15490775490355901,True
S05_ZERO,I(IDGX2==0) -> W4_COG_COMP,W4_COG_COMP,race_Other,0.04656340713343407,0.09537877514619958,0.4881946435363656,0.6263664014487705,-0.14241740967867042,0.23554422394553856,3268,113,0.15490775490355901,True
