exposure,exposure_group,outcome,outcome_label,outcome_group,n,beta,se,p,d1_pass,beta_L0,beta_L0_L1,beta_full,d4a_rel_shift,d4a_sign_stable,d4a_pass,d4b_beta_levels,d4b_beta_trajectory,d4b_abs_shift,d4b_pct_attenuation,beta_no_ahpvt,se_no_ahpvt,p_no_ahpvt,d1_q
ESRDEN,egonet,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,3147,0.9502425191457791,2.8061655732124358,0.7355249899718277,False,2.083723956018055,0.9682662957802597,0.9502425191457791,1.1520153754179,True,False,0.9682662957802597,0.9502425191457791,0.018023776634480626,0.018614483136538906,,,,0.8023908981510847
ESRDEN,egonet,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,3130,-0.14613500486411884,0.205031980747203,0.4774874185959294,False,-0.0812688616885387,-0.1647694281633601,-0.14613500486411884,0.5067722052906262,True,False,-0.1647694281633601,-0.14613500486411884,0.018634423299241254,0.11309393682404612,,,,0.7162311278938941
ESRDEN,egonet,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,2320,0.2135675024619556,0.1617253205248373,0.1893412546344977,False,0.2060196857422239,0.17255636105526173,0.2135675024619556,0.19392692614933757,True,True,0.17255636105526173,0.2135675024619556,0.041011141406693874,-0.23766809380941867,,,,0.4064453555837612
ESRDEN,egonet,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,2314,-0.16696534950818784,0.14437739421914028,0.24995758194032824,False,-0.14357381722135754,-0.11105285622967492,-0.16696534950818784,0.2928421843056797,True,True,-0.11105285622967492,-0.16696534950818784,0.055912493278512915,-0.5034764091332959,,,,0.37493637291049237
ESRDEN,egonet,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,2369,-0.04916872143504585,0.15501942515365816,0.7516991883922454,False,0.03184272548098133,-0.04678121732476659,-0.04916872143504585,1.6806732980016612,False,False,-0.04678121732476659,-0.04916872143504585,0.0023875041102792635,-0.05103552765001029,,,,0.8590847867339947
ESRDEN,egonet,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,2370,-0.04065654573358391,0.09328944250790072,0.6638128286081786,False,-0.02470156649051581,-0.059573635605368894,-0.04065654573358391,0.585360768408607,True,False,-0.059573635605368894,-0.04065654573358391,0.018917089871784983,0.31754130295314953,,,,0.7241594493907402
ESRDEN,egonet,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,2368,0.003470989986839812,0.22570580872990412,0.9877576717173318,False,-0.025785186823547933,-0.06211395546967159,0.003470989986839812,0.5848728900200523,True,False,-0.06211395546967159,0.003470989986839812,0.0655849454565114,0.9441189993360736,,,,0.9877576717173318
ESRDEN,egonet,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,2367,0.059793737232529,0.06202919928567485,0.33714213327854925,False,0.06654215655253798,0.054835752262504006,0.059793737232529,0.21348123818917067,True,True,0.054835752262504006,0.059793737232529,0.0049579849700249964,-0.09041519018998123,0.054835752262504006,0.060218462756599755,0.36445464211659045,0.5057131999178239
ESRDEN,egonet,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,2345,-0.21972024475636137,0.6335477303550974,0.729385351533514,False,-0.19160596660237894,-0.07449897510765718,-0.21972024475636137,1.5719275510232518,True,False,-0.07449897510765718,-0.21972024475636137,0.1452212696487042,-1.9493056037193455,-0.07449897510765718,0.6272704184665254,0.9056727742167983,0.729385351533514
RCHDEN,egonet,H4BMI,S27 BMI—W4,cardiometabolic,3234,1.5695385010178493,1.0656574593868369,0.14360007166940256,False,1.821903397518146,1.7681670414621988,1.5695385010178493,0.030390995192122516,True,True,1.7681670414621988,1.5695385010178493,0.19862854044434952,0.11233584598437718,,,,0.2872001433388051
RCHDEN,egonet,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,3197,4.856205956912427,1.9827386707517618,0.015865366537825155,True,5.51521436630867,5.431920039617912,4.856205956912427,0.01533423284644237,True,True,5.431920039617912,4.856205956912427,0.5757140827054856,0.10598721603162298,,,,0.19038439845390187
RCHDEN,egonet,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,3197,2.1712120784885744,1.7601460995208376,0.21995652957919665,False,2.76617957311513,2.695479702035252,2.1712120784885744,0.02622904970365593,True,True,2.695479702035252,2.1712120784885744,0.5242676235466774,0.19449882080389003,,,,0.7320406064578795
RCHDEN,egonet,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,3250,-0.515504118796895,2.7030968122833245,0.8490990710350047,False,0.22614636006793898,0.05270263120861873,-0.515504118796895,3.290988037632476,True,False,0.05270263120861873,-0.515504118796895,0.5682067500055137,-8.781373471778235,,,,0.8490990710350047
RCHDEN,egonet,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,3234,0.2723579779099934,0.19238815497901224,0.15964720614911188,False,0.30683357791539206,0.3010784715970377,0.2723579779099934,0.01911497121606544,True,True,0.3010784715970377,0.2723579779099934,0.028720493687044324,0.09539205355567149,,,,0.31929441229822375
RCHDEN,egonet,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,2387,-0.09242339812500458,0.19583504377692967,0.6378841264852867,False,-0.09021574337597334,-0.033931237662003774,-0.09242339812500458,1.6587813941428076,True,False,-0.033931237662003774,-0.09242339812500458,0.058492160463000806,-1.723844000199862,,,,0.6656182189411687
RCHDEN,egonet,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,2380,0.04326347024048116,0.17921482737261737,0.8096821517201541,False,0.087934318655882,0.035222387485115456,0.04326347024048116,1.4965462291005103,True,False,0.035222387485115456,0.04326347024048116,0.008041082755365705,-0.22829465375576175,,,,0.8832896200583499
RCHDEN,egonet,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,2438,0.1452117325571482,0.19481170889928245,0.45759422430722085,False,0.13777455453455267,0.1619203147845518,0.1452117325571482,0.14912125314310948,True,True,0.1619203147845518,0.1452117325571482,0.016708582227403596,0.10319015405593623,,,,0.6101256324096278
RCHDEN,egonet,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,2439,-0.1627012455048033,0.10586227438262656,0.12713463220897456,False,-0.16716203513782676,-0.16311876062727565,-0.1627012455048033,0.0247873052431409,True,True,-0.16311876062727565,-0.1627012455048033,0.000417515122472345,0.0025595775793464393,,,,0.21794508378681351
RCHDEN,egonet,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,2437,0.03792840141170539,0.2289852189768961,0.8687413261060042,False,0.04963448526320041,0.08886192011840705,0.03792840141170539,0.44144257521035696,True,False,0.08886192011840705,0.03792840141170539,0.05093351870670165,0.5731759862811154,,,,0.9877576717173318
RCHDEN,egonet,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,2436,-0.049826852335632776,0.08212142088845548,0.5452473919109307,False,-0.046094868054361235,-0.040840814458916866,-0.049826852335632776,0.12864713069641637,True,True,-0.040840814458916866,-0.049826852335632776,0.00898603787671591,-0.2200259224936678,-0.040840814458916866,0.08214022962781417,0.6200167469966039,0.7269965225479076
RCHDEN,egonet,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,2413,0.9226939401199641,0.7301795822098835,0.20897836313457802,False,1.1443664371970395,1.026278717598231,0.9226939401199641,0.11506398561510217,True,True,1.026278717598231,0.9226939401199641,0.103584777478267,0.1009324033540161,1.026278717598231,0.7506337136382423,0.17429521831021774,0.27863781751277067
FRIEND_N_NOMINEES,friendship_grid,H4BMI,S27 BMI—W4,cardiometabolic,4665,-0.08272548478114962,0.05419760482445744,0.12932906253298218,False,-0.09823186150906957,-0.11025537024730586,-0.08272548478114962,0.10905145673419107,True,True,-0.11025537024730586,-0.08272548478114962,0.027529885466156243,0.2496920141341501,,,,0.2821725000719611
FRIEND_N_NOMINEES,friendship_grid,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,4609,0.09791815317187125,0.0737381800539546,0.1865147967065261,False,0.1285929828617405,0.1123924383261672,0.09791815317187125,0.14414265565231976,True,True,0.1123924383261672,0.09791815317187125,0.014474285154295954,0.12878344281748755,,,,0.6888391576744926
FRIEND_N_NOMINEES,friendship_grid,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,4609,0.06970281782431637,0.06469973862481103,0.2833138043864071,False,0.0953743671033496,0.08348015140309366,0.06970281782431637,0.14247956550561733,True,True,0.08348015140309366,0.06970281782431637,0.013777333578777293,0.1650372375614394,,,,0.7320406064578795
FRIEND_N_NOMINEES,friendship_grid,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,4689,-0.13121305084199128,0.12843287212654866,0.30883102131579465,False,-0.15444348141318928,-0.18275205300558864,-0.13121305084199128,0.15490152437047405,True,True,-0.18275205300558864,-0.13121305084199128,0.05153900216359736,0.2820159955304101,,,,0.4724290688613176
FRIEND_N_NOMINEES,friendship_grid,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,4665,-0.015180778454231623,0.010414635787920689,0.1473332038832353,False,-0.01767013794126721,-0.019629704029898786,-0.015180778454231623,0.09982657332208798,True,True,-0.019629704029898786,-0.015180778454231623,0.004448925575667163,0.2266425193620254,,,,0.31929441229822375
FRIEND_N_NOMINEES,friendship_grid,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,3387,-0.006883532524712968,0.008582914094398068,0.4240030362506426,False,-0.005256342738319595,-0.004379465039621606,-0.006883532524712968,0.20022484270675966,True,True,-0.004379465039621606,-0.006883532524712968,0.0025040674850913616,-0.5717747401650037,,,,0.5855578430334778
FRIEND_N_NOMINEES,friendship_grid,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,3381,0.01091457072732308,0.006418702767603346,0.09142245763940388,False,0.009230927926399422,0.009065785642804955,0.01091457072732308,0.018215992535134812,True,True,0.009065785642804955,0.01091457072732308,0.0018487850845181255,-0.20392993584460162,,,,0.20134530828894892
FRIEND_N_NOMINEES,friendship_grid,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,3457,-0.015917388716045172,0.007985821895580439,0.048316415009258144,True,-0.015378163293635557,-0.01640037446889224,-0.015917388716045172,0.06232852653429247,True,True,-0.01640037446889224,-0.015917388716045172,0.0004829857528470677,0.029449678345039088,,,,0.1054176327474723
FRIEND_N_NOMINEES,friendship_grid,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,3457,-0.006362709476470222,0.003735147241519739,0.0908514158084122,False,-0.00670763245164639,-0.007138362576483261,-0.006362709476470222,0.0603401858930331,True,True,-0.007138362576483261,-0.006362709476470222,0.0007756531000130389,0.10865980702190214,,,,0.18361822572549857
FRIEND_N_NOMINEES,friendship_grid,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,3456,-0.011027821957185952,0.00956584185285469,0.2510780331920376,False,-0.009993261651603847,-0.009999647656744503,-0.011027821957185952,0.000638623015516817,True,True,-0.009999647656744503,-0.011027821957185952,0.0010281743004414493,-0.1028210528745952,,,,0.8608389709441289
FRIEND_N_NOMINEES,friendship_grid,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,3455,-0.004074807248148204,0.0029949068437498108,0.1759831576313433,False,-0.00439733596235459,-0.004898253639974653,-0.004074807248148204,0.10226454455769168,True,True,-0.004898253639974653,-0.004074807248148204,0.0008234463918264491,0.16811019852183695,-0.004898253639974653,0.002989374446299257,0.10370563215412808,0.38614762248589785
FRIEND_N_NOMINEES,friendship_grid,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,3417,0.05638922230996304,0.021709307557600713,0.01046553909229983,True,0.06727397228910077,0.06829315688745405,0.05638922230996304,0.014923670903555897,True,True,0.06829315688745405,0.05638922230996304,0.011903934577491011,0.17430640374567086,0.06829315688745405,0.024249243997117247,0.005609929853483348,0.02511729382151959
FRIEND_CONTACT_SUM,friendship_grid,H4BMI,S27 BMI—W4,cardiometabolic,4665,-0.043914209178931574,0.02208864936039251,0.048886453734433524,True,-0.05180437106971237,-0.05573443150468124,-0.043914209178931574,0.07051404901544173,True,True,-0.05573443150468124,-0.043914209178931574,0.011820222325749669,0.2120811499576678,,,,0.1757660630103303
FRIEND_CONTACT_SUM,friendship_grid,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,4609,0.0538526349250118,0.02852305120113204,0.061232418182961955,False,0.06385133036557786,0.06113767329509834,0.0538526349250118,0.0443860049658953,True,True,0.06113767329509834,0.0538526349250118,0.007285038370086538,0.11915792632348354,,,,0.48985934546369564
FRIEND_CONTACT_SUM,friendship_grid,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,4609,0.040175986890548736,0.025866585379658188,0.12278791065388295,False,0.046436981251915144,0.04440884068607773,0.040175986890548736,0.04566974806152152,True,True,0.04440884068607773,0.040175986890548736,0.004232853795528992,0.09531556622814519,,,,0.7320406064578795
FRIEND_CONTACT_SUM,friendship_grid,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,4689,-0.08455976571435163,0.04926552742575116,0.08845099317949794,False,-0.09743615685708226,-0.10702283709809622,-0.08455976571435163,0.08957602415479689,True,True,-0.10702283709809622,-0.08455976571435163,0.022463071383744593,0.20989044948560964,,,,0.21228238363079505
FRIEND_CONTACT_SUM,friendship_grid,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,4665,-0.007594316277614728,0.0040326192083858774,0.0618875119608997,False,-0.008862326845788504,-0.009509418005732295,-0.007594316277614728,0.06804739885802935,True,True,-0.009509418005732295,-0.007594316277614728,0.0019151017281175669,0.20139000377974126,,,,0.2311108701050718
FRIEND_CONTACT_SUM,friendship_grid,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,3387,-0.0025045463620401794,0.003950494451522824,0.527197378282265,False,-9.308583340148727e-05,-0.0008777203573600957,-0.0025045463620401794,0.8939459104247509,True,False,-0.0008777203573600957,-0.0025045463620401794,0.0016268260046800836,-1.8534673270801876,,,,0.6030950525464821
FRIEND_CONTACT_SUM,friendship_grid,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,3381,0.008024775802626281,0.0028231312725911224,0.005193616636056131,True,0.006148035860409546,0.007177274508577779,0.008024775802626281,0.14340243597178265,True,True,0.007177274508577779,0.008024775802626281,0.0008475012940485022,-0.11808121495640544,,,,0.12464679926534715
FRIEND_CONTACT_SUM,friendship_grid,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,3457,-0.005419699234648865,0.0032952681599091355,0.10243105477543162,False,-0.005179220666909198,-0.0062490961676313255,-0.005419699234648865,0.17120483859150723,True,True,-0.0062490961676313255,-0.005419699234648865,0.0008293969329824609,0.13272270272915931,,,,0.20486210955086323
FRIEND_CONTACT_SUM,friendship_grid,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,3457,-0.0033451865560256305,0.0014725570343184114,0.024735877285274425,True,-0.0034087580139207704,-0.003798278885118625,-0.0033451865560256305,0.1025519407550532,True,True,-0.003798278885118625,-0.0033451865560256305,0.0004530923290929946,0.11928885234524955,,,,0.07420763185582327
