exposure,outcome,outcome_group,label,beta,p,sd_x,sd_y,rr_basis,rr,evalue
FRIEND_DISCLOSURE_ANY,H5MN1,mental_health,FRIEND_DISCLOSURE_ANY -> H5MN1,0.08373237690070995,0.11000281071789579,0.4608019334850287,1.052259652418585,chinn-2000,1.033930638835455,1.2212323395411269
FRIEND_N_NOMINEES,H5MN1,mental_health,FRIEND_N_NOMINEES -> H5MN1,-0.001376928579297781,0.9310543246731644,2.4238869968206953,1.052259652418585,chinn-2000,0.9971178561388966,1.0567312534857651
FRIEND_CONTACT_SUM,H5MN1,mental_health,FRIEND_CONTACT_SUM -> H5MN1,-0.0028751523296078225,0.6952762170904875,6.1683926993476135,1.052259652418585,chinn-2000,0.9847796326867018,1.140733231561258
FRIEND_DISCLOSURE_ANY,H5MN2,mental_health,FRIEND_DISCLOSURE_ANY -> H5MN2,0.05328337459939732,0.28241281632757187,0.4608019334850287,0.9449202590801405,chinn-2000,1.0239274801047338,1.1804522526134207
FRIEND_N_NOMINEES,H5MN2,mental_health,FRIEND_N_NOMINEES -> H5MN2,-0.010447406296420063,0.3798620150062354,2.4238869968206953,0.9449202590801405,chinn-2000,0.9759074831267553,1.183736843436968
FRIEND_CONTACT_SUM,H5MN2,mental_health,FRIEND_CONTACT_SUM -> H5MN2,0.009159447310914035,0.08216216259483708,6.1683926993476135,0.9449202590801405,chinn-2000,1.0559186023075269,1.298911384899015
FRIEND_DISCLOSURE_ANY,H5ID1,functional,FRIEND_DISCLOSURE_ANY -> H5ID1,-0.06159511255019366,0.2124299744204852,0.4608019334850287,0.9817523284987635,chinn-2000,0.9740343228262099,1.1920921696914164
FRIEND_N_NOMINEES,H5ID1,functional,FRIEND_N_NOMINEES -> H5ID1,-0.013357928867792256,0.16684371673153403,2.4238869968206953,0.9817523284987635,chinn-2000,0.9704341558547684,1.2076524782044955
FRIEND_CONTACT_SUM,H5ID1,functional,FRIEND_CONTACT_SUM -> H5ID1,-0.0007117469167271071,0.8744910625275005,6.1683926993476135,0.9817523284987635,chinn-2000,0.9959388064443089,1.0680651136601351
FRIEND_DISCLOSURE_ANY,H5ID4,functional,FRIEND_DISCLOSURE_ANY -> H5ID4,-0.007684281532449162,0.7672032699951341,0.4608019334850287,0.5519349622758285,chinn-2000,0.9941789150327247,1.08259792960278
FRIEND_N_NOMINEES,H5ID4,functional,FRIEND_N_NOMINEES -> H5ID4,0.0006554853334099998,0.9240024642721034,2.4238869968206953,0.5519349622758285,chinn-2000,1.0026229969746194,1.0539053242204484
FRIEND_CONTACT_SUM,H5ID4,functional,FRIEND_CONTACT_SUM -> H5ID4,-0.003776037362756701,0.1652006776555981,6.1683926993476135,0.5519349622758285,chinn-2000,0.9623253323334549,1.2408481760054926
FRIEND_DISCLOSURE_ANY,H5ID16,functional,FRIEND_DISCLOSURE_ANY -> H5ID16,0.10755820950377715,0.12068318576352677,0.4608019334850287,1.343194908834103,chinn-2000,1.034148534879154,1.22207047961565
FRIEND_N_NOMINEES,H5ID16,functional,FRIEND_N_NOMINEES -> H5ID16,-0.024388466758003442,0.11243815935806901,2.4238869968206953,1.343194908834103,chinn-2000,0.9607416930831466,1.2470959674648252
FRIEND_CONTACT_SUM,H5ID16,functional,FRIEND_CONTACT_SUM -> H5ID16,0.005658607958028734,0.3940634301596391,6.1683926993476135,1.343194908834103,chinn-2000,1.0239292490269882,1.1804599424579696
FRIEND_DISCLOSURE_ANY,H5LM5,ses,FRIEND_DISCLOSURE_ANY -> H5LM5,-0.00493862170033345,0.7898905939151558,0.4608019334850287,0.39783067041437103,chinn-2000,0.9948080163973523,1.077650564415606
FRIEND_N_NOMINEES,H5LM5,ses,FRIEND_N_NOMINEES -> H5LM5,0.0008433993679181303,0.8661207594574721,2.4238869968206953,0.39783067041437103,chinn-2000,1.0046871038954541,1.0733097884711897
FRIEND_CONTACT_SUM,H5LM5,ses,FRIEND_CONTACT_SUM -> H5LM5,-0.0027863469287068517,0.15309771618431497,6.1683926993476135,0.39783067041437103,chinn-2000,0.9614484969032218,1.2443156037346585
FRIEND_DISCLOSURE_ANY,H5EC1,ses,FRIEND_DISCLOSURE_ANY -> H5EC1,0.43582122738381446,0.0115033993352993,0.4608019334850287,3.261990749766246,chinn-2000,1.0576240522564784,1.3044936203586155
FRIEND_N_NOMINEES,H5EC1,ses,FRIEND_N_NOMINEES -> H5EC1,-0.0022721684033069622,0.9517708089694674,2.4238869968206953,3.261990749766246,chinn-2000,0.998464754035672,1.0407800682977988
FRIEND_CONTACT_SUM,H5EC1,ses,FRIEND_CONTACT_SUM -> H5EC1,0.02960922740865645,0.03916379963443123,6.1683926993476135,3.261990749766246,chinn-2000,1.052271953538806,1.2868019317197823
