stratification,friend_indicator,sex,sex_code,friend_present,friend_code,outcome,outcome_label,outcome_group,n_cell,adj_mean,adj_se,weight_col_used
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,418,7.4576615386471845,0.5811707547288262,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,W4_COG_COMP,W4 cognition composite,cognitive,1363,-0.949499635472461,0.16557232928970142,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H4BMI,S27 BMI—W4,cardiometabolic,1343,29.05984694525279,1.9207419570884834,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,1337,112.01606660244994,3.3186388072220523,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,1337,69.57933032036264,2.6891722370892643,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,1351,101.09727732153233,4.424613763517299,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,1343,3.325353329337672,0.33542247579350803,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,1068,2.490891818411076,0.3069109517280897,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,1067,3.5330336274324496,0.2553997685918785,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,1091,2.7358370094908633,0.25278073931831235,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,1091,1.3967768258282092,0.16818150577462412,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,1092,2.1145776984903897,0.40454013566108354,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,1089,1.193451828406822,0.053729268857490006,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,yes,1,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,1078,6.902940893254116,0.43596982048306143,GSWGT4_2
